sentence_A	sentence_B	entailment_label	label_enc
A man is drawing some figures	A person is drawing some figures	ENTAILMENT	1
A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL	2
A dirty tan dog is rolling in the dirt and looking right at the camera	A dog is playing on the ground	ENTAILMENT	1
The man is rock climbing	A man is cooking a snake	NEUTRAL	2
The speaker likes parrots	A parrot is speaking	NEUTRAL	2
A dog with a blue collar is playing with the ball outside	A grey dog is bouncing a soccer ball on its head in a grass field	NEUTRAL	2
The men are not talking	Some women are talking	NEUTRAL	2
A horse is being ridden by a person	A person is riding a horse	ENTAILMENT	1
A man with a hard hat is dancing	The man with a hard hat is dancing	ENTAILMENT	1
The man is drawing	The man is not drawing	CONTRADICTION	0
Two men are fighting in a pasture for cows	Two men are fighting in a cattle pen	ENTAILMENT	1
The people are not sitting on a bench in front of a restaurant	The people are sitting on a bench in front of a restaurant	CONTRADICTION	0
A man is lazily walking down a road	A man is walking down a road	ENTAILMENT	1
A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	A racer in full gear wears a helmet with sponsor logos and is riding a blue sport motorcycle	NEUTRAL	2
A woman is cooking fish	There is no woman cooking fish	CONTRADICTION	0
A large dog is running on the grass with a tennis ball in its mouth	A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass	NEUTRAL	2
A tiger is walking around with no aim	A tiger is walking around a cage	NEUTRAL	2
A kid is smiling at the camera and swimming underwater	A child is smiling at the camera and swimming underwater	ENTAILMENT	1
A man is standing beside a birdcage which is large and colorful	A man is standing beside a large and colorful birdcage	ENTAILMENT	1
Nobody is pouring ingredients into a pot	A man is putting vegetables into a pot	CONTRADICTION	0
A guy is riding a horse	A horse is being ridden by a guy	ENTAILMENT	1
A dog is running on a muddy path	A dog is running on a snowy path	NEUTRAL	2
A man is parking a car in a garage	A man is getting into a car	NEUTRAL	2
A girl is brushing her hair	A girl is combing her hair	NEUTRAL	2
There is no man riding a horse	A man is riding a horse	CONTRADICTION	0
A man is driving a car	There is no woman dipping a shrimp in batter	NEUTRAL	2
A black and white dog is carrying a huge stick on the green grass	A black and white dog with a large branch is running in the field	ENTAILMENT	1
The man is putting chicken into the box	The man is putting chicken into the container	ENTAILMENT	1
A baby is playing a guitar	A guitar is being played by a baby	ENTAILMENT	1
There is no boy in a white t-shirt splashing in shallow water	A boy is running through the water at the beach	NEUTRAL	2
The baby is being put into a trash can by a woman	A person is putting meat into a skillet	NEUTRAL	2
A woman is talking on a telephonic device	A woman is talking on a telephone	ENTAILMENT	1
There is no cat swinging on a fan	A cat is swinging on a fan	CONTRADICTION	0
A boy is spanking a man with a plastic sword	A boy is spanking a man with a toy weapon	ENTAILMENT	1
A little brown and white dog is running on the sidewalk	A little brown and white dog is running on the road	NEUTRAL	2
A young lady in a bikini is lying on the beach	A black girl with no bikini is wearing a hat at the beach	NEUTRAL	2
Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	NEUTRAL	2
There is no blonde lady looking at a tower	A woman dressed in elegant clothing is inside a crowd of people and is looking down	NEUTRAL	2
Two people are carrying colorful baskets and blankets and walking near a building	Two people are walking with laden baskets and colorful blankets	NEUTRAL	2
A man is spitting on the ground	A man is talking	NEUTRAL	2
Two guys are sitting around a table and holding beers in their hands	There are no men sitting at the table with four beer bottles	CONTRADICTION	0
A man is sprinkling shredded cheese on a pizza	There is no man sprinkling shredded cheese on a pizza	CONTRADICTION	0
Several people are sitting around a fire at night	Several people are gathered around a fire at night	ENTAILMENT	1
A man is cutting pieces of butter into a mixing bowl	There is no man cutting pieces of butter into a mixing bowl	CONTRADICTION	0
Three women are resting in a village	Three women are sitting in a village	ENTAILMENT	1
Two people are walking two dogs with golden coats in the snow	Two people are in the snow holding two dogs with golden coats	NEUTRAL	2
A man in a suit is standing at a microphone and singing	The man on stage is singing into the microphone	ENTAILMENT	1
A group of people is equipped with protective gear	A group of people is equipped with unprotective gear	NEUTRAL	2
A man is playing the guitar	The man is playing the guitar	ENTAILMENT	1
Three men and a woman are running away from a picture	Three men and a woman are posing for a picture	NEUTRAL	2
A dog is teasing a monkey at the zoo	A monkey is pulling a dog's tail	NEUTRAL	2
A man is dancing on a roof 	A man is standing on a roof top and playing a violin	NEUTRAL	2
A boat's sail is being reflected by the peaceful water	A boat is sailing peacefully over the water	ENTAILMENT	1
There is no man mowing grass	A man is mowing grass	CONTRADICTION	0
A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	ENTAILMENT	1
Three men are sitting together near woven walls	Three women are sitting in a village	NEUTRAL	2
A skier in white is catching a tiny bit of air	A skier in black is catching a tiny bit of air	NEUTRAL	2
A woman is slicing a clove of garlic	A woman is slicing a pepper which is big	NEUTRAL	2
Two small children are playing with a toy car in the street	A girl is pushing a go-kart and a daughter is watching her father	NEUTRAL	2
A woman is slicing garlic	A woman is not slicing garlic	CONTRADICTION	0
A man is slicing an onion	The onion is being cut by the man	ENTAILMENT	1
Two old ladies are wearing worn dresses at home	A woman in a white dress and a woman in a blue dress are standing on a stage	NEUTRAL	2
The person is slicing onions	There is no person peeling an onion	CONTRADICTION	0
Some runners are competing in a race	The runners are racing around a track	NEUTRAL	2
Two young kids are eating corndogs	Two young kids are fasting	CONTRADICTION	0
One woman is peeling a potato	There is no woman peeling a potato	CONTRADICTION	0
Two kids are playing in a swimming pool with a green colored crocodile float	An inflatable crocodile is being pushed by two kids in a pool	NEUTRAL	2
The goal is being guarded by a hockey player in a yellow jersey	The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal	ENTAILMENT	1
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle	A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle	CONTRADICTION	0
A baby is crawling happily	A cat is walking on the parquet	NEUTRAL	2
A white race car is driving through a puddle	A white racing vehicle is driving through a puddle	ENTAILMENT	1
A blue ball is being caught by the dog	The dog is catching a blue ball	ENTAILMENT	1
Some meat is being stitched together by a woman	Some meat is being cut into pieces by a woman	NEUTRAL	2
The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	CONTRADICTION	0
A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	0
A veteran is showing different things from a war to some people	A small man is sitting in a military accessories store	NEUTRAL	2
A man is ignoring a girl via an internet camera	A boy in his teens is talking to a girl with a webcam	NEUTRAL	2
A baby is cheerfully playing with a dog	A baby is playing with a dog 	ENTAILMENT	1
Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	NEUTRAL	2
A man on a bike is jumping on a pyramid-shaped ramp	A bicyclist is jumping on a pyramid-shaped ramp	ENTAILMENT	1
A white car is being driven by the man	The interviewer is granting a break to the man	NEUTRAL	2
A wild deer is jumping a fence	A deer is jumping a fence	ENTAILMENT	1
A dog is playing with a toy	There is no dog playing with a toy	CONTRADICTION	0
Runners are racing down a track	Racers are running down a track	ENTAILMENT	1
A man at the keyboard is playing with his nose	A man is playing the keyboard with his nose	ENTAILMENT	1
Two poodles are in the snow and one is jumping high	Two poodles are in the snow and one is jumping	ENTAILMENT	1
A man is talking to the woman who is seated beside him and is driving a car	A woman is driving a car and is talking to the man who is seated beside her	ENTAILMENT	1
The man is sitting on the floor in a room and strumming a guitar	A man is sitting on the floor and is playing a guitar	ENTAILMENT	1
The man is running on the road	A dog is running on the road	NEUTRAL	2
The man is driving a car	The driver's car is parked by a man	NEUTRAL	2
A girl is running through the water at the beach	A boy is running through the water at the beach	NEUTRAL	2
Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a weapon	NEUTRAL	2
The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking	NEUTRAL	2
A dog is standing with its two front paws on a rock in a field	The black dog is climbing on a rock	NEUTRAL	2
A woman is cutting broccoli	A man is slicing tomatoes	NEUTRAL	2
A man is leading the race	A few men in a competition are running outdoors	NEUTRAL	2
A man with a white moustache is standing on a balcony and is looking at the road below	A man is leaning on the ledge of a balcony	NEUTRAL	2
There is no person on a bike jumping through the air with the sun flaring through the bike frame	A person on a bike is jumping through the air and the sun is flaring through the bike frame	CONTRADICTION	0
Some people and vehicles are on a crowded street	Pedestrians and cars are moving through a traffic jam in the big city	ENTAILMENT	1
One man is turning on the microwave	One man is powering the microwave	ENTAILMENT	1
A woman with a ponytail is climbing a wall of rock	A woman is tailing a pony near a rock climbing wall	NEUTRAL	2
There is no man on a bicycle riding on the beach	A man on a bicycle is riding on the beach	CONTRADICTION	0
Two people wearing helmets are driving over the yellow and white flowers	Two adults are standing on a scooter in a field of yellow flowers	NEUTRAL	2
A man in a black jersey is standing in a gym	A woman in a black jersey is standing in a gym	NEUTRAL	2
A baby is crawling happily	A baby is sneezing and frightening another baby	NEUTRAL	2
Men are cutting wood	Some men are sawing	ENTAILMENT	1
A man and two women are standing in a bright room by a table with candles	A man and two women in a darkened room are sitting at a table with candles	NEUTRAL	2
Someone is slicing a tomato	Someone is cutting a tomato	ENTAILMENT	1
A kitten is playing with a toy made of blue rope	The kitten is playing with a toy	ENTAILMENT	1
The woman is poking a potato	The woman is not poking holes in the potato	CONTRADICTION	0
A group of students in uniforms is listening attentively at the front of the class	A classroom full of students is looking in the same direction inside a bamboo structure	NEUTRAL	2
Two dogs are walking slowly through a park	Two dogs are running through the park	NEUTRAL	2
A person is cutting some mushrooms	A person is putting away the mushrooms	NEUTRAL	2
The kitten is not playing with a toy	The kitten is playing with a toy	CONTRADICTION	0
A cat is playing a keyboard	There is no man playing two keyboards	NEUTRAL	2
There is no badger shrewdly digging the earth	A badger is shrewdly digging the earth	CONTRADICTION	0
A chef is discarding some food	A chef is preparing a meal	NEUTRAL	2
A young girl is using sign language	Sign language is being used by a young girl	ENTAILMENT	1
Two cubs are playing	Two pandas are lying together	NEUTRAL	2
A man is drilling a hole in a piece of wood	A man is drilling a hole with a piece of wood	NEUTRAL	2
A woman is frying food	A woman is placing food in a pot of hot water	NEUTRAL	2
The man is cooking slices of potato	The man is slicing a potato	NEUTRAL	2
Two people are in the snow, wearing clothes that provide camouflage	A woman is riding a scooter for water	NEUTRAL	2
Three people are walking across a rope and wood bridge over a river	Three people are walking across a rope and steel bridge over a river	NEUTRAL	2
A group of people are standing around a sound mixing table	Some people is looking at sound equipment	ENTAILMENT	1
The brown dog and the gray dog are playing in the snow	Two dogs are playing in the snow	ENTAILMENT	1
A man is playing a keyboard in a park	A person is playing the keyboard	ENTAILMENT	1
People in costumes are walking around in the street	Two people dressed in green and red costumes are outside near the street	NEUTRAL	2
A person is throwing a cat at the ceiling	A cat is thrown at the ceiling by a person	ENTAILMENT	1
A person is frying meat in a pan	A skunk is being held by a person	NEUTRAL	2
Some bamboo is being eaten by a panda bear	The panda is eating bamboo	ENTAILMENT	1
The lady is breaking eggs that are raw into a bowl	The lady is breaking raw eggs into a bowl	ENTAILMENT	1
A large group of cheerleaders is walking in a parade	There is no large group of cheerleaders walking in a parade	CONTRADICTION	0
A man with no shirt is holding a football	A football is being held by a man with no shirt	ENTAILMENT	1
Some boys are kneeling next to each other in front of a ball	The young boys are posing with a green soccer ball in a park	NEUTRAL	2
There is no man exercising	A girl is exercising	NEUTRAL	2
There is no man spitting	A man is talking	NEUTRAL	2
There is no child holding a water gun or getting sprayed with water	A laughing child is holding a water gun and getting sprayed with water	CONTRADICTION	0
A dog with really long hair and a red vest is running in the grass	The dog in the red vest is running in the field	ENTAILMENT	1
The man is eating potato slices	The man is slicing potatoes	NEUTRAL	2
A boy next to some buckets of rags is holding something	A boy is walking across a bridge	NEUTRAL	2
A man is playing a guitar	A man is opening a box with a knife	NEUTRAL	2
A small group of people are standing and two are sitting on the sofa	A group of five young adults are lounging indoors	NEUTRAL	2
The man is lifting weights	Weights are being lifted by the man	ENTAILMENT	1
One truck is quickly going down the hill	A truck is quickly going down a hill	ENTAILMENT	1
The badger isn't burrowing a hole	The badger is burrowing a hole	CONTRADICTION	0
A boy is happily playing the piano	One boy is happily playing a piano	ENTAILMENT	1
A group of women are wearing pink bunny ears and are pointing to the right	Several women are wearing pink bunny ears and are pointing to the right	ENTAILMENT	1
Two dogs on a lawn are playing with a plastic toy	Two dogs are running and trying to catch a ball	NEUTRAL	2
People are walking outside the building that has several murals on it	Several people are in front of a colorful building	ENTAILMENT	1
A dog is pushing a toddler into a rain puddle	A boy is being knocked into the water by the dog	NEUTRAL	2
A man is strumming a guitar	A man is playing a guitar	ENTAILMENT	1
A woman is not boiling shrimps	A woman is boiling shrimps	CONTRADICTION	0
A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	NEUTRAL	2
A woman is dancing and a man is playing the keyboard	A woman is dancing on a stage	NEUTRAL	2
A toy train is striking a toy car	There is no toy train striking a toy car	CONTRADICTION	0
The white dog is carrying a blue and white ball in its mouth	A dog is running with a volleyball	NEUTRAL	2
A man is dancing	A man is praying	NEUTRAL	2
A wet boy is standing still on dirty and wet grass	A young boy covered in grass is jumping near a wooden fence	NEUTRAL	2
The woman is handling a frog	A person is holding a frog	ENTAILMENT	1
A person on a yellow bike is airborne	A cyclist on a yellow bike is airborne	ENTAILMENT	1
A woman is dipping a shrimp in batter	A man is driving a car	NEUTRAL	2
Three men are staring at the big green hills in the distance	Three men are looking into the distance	ENTAILMENT	1
A group of boys is not playing soccer on the beach	A group of boys is playing soccer on the beach	CONTRADICTION	0
The lady is carefully slicing up the meat	The lady is slicing up the meat	ENTAILMENT	1
Some fish are swimming quickly	A fish is swimming	ENTAILMENT	1
The people are standing at a carnival	The people are running at a carnival	NEUTRAL	2
An Asian woman is holding a fur scarf	A woman dressed in elegant clothing is inside a crowd of people and is looking up	NEUTRAL	2
A man on a horse is riding on a track and waving	The person on the motorcycle is holding up an arm	NEUTRAL	2
A lion is pacing tiredly in a pen	A lion is slowly moving around	NEUTRAL	2
A black dog is jumping from a dock into the water	A black animal is jumping from a dock into the water	ENTAILMENT	1
A guy is mowing the lawn	There is no guy mowing the lawn	CONTRADICTION	0
A small child in a pink sweater is climbing a concrete staircase	A small child is outdoors climbing steps in a grassy area	NEUTRAL	2
There is no boy cutting grass with scissors	A boy is cutting grass with scissors	CONTRADICTION	0
The man is driving a car carefully	The man is driving a car	ENTAILMENT	1
The man is catching a fish	A woman is deboning a fish	NEUTRAL	2
The bearded man is not sitting on a train	The bearded man is sitting on a train	CONTRADICTION	0
One woman is slowly peeling a potato	One woman is peeling a potato	ENTAILMENT	1
A kitten is playing with a blue rope toy	A kitten is playing with a toy made of blue rope	ENTAILMENT	1
The man is slicing a potato	There is no man slicing potatoes	CONTRADICTION	0
The south African plane is not flying in a blue sky	An airplane is flying through the air	NEUTRAL	2
A group of people are walking	A group of people are dancing at a concert	NEUTRAL	2
A dog is chasing a ball	There is no dog chasing a ball	CONTRADICTION	0
A boy of young age is playing in the park with his mother	A young boy is playing in the park with his mother	ENTAILMENT	1
A woman is peeling a potato	A woman is peeling food	ENTAILMENT	1
A blond child is holding a yellow bottle	There is no blond child holding a yellow bottle	CONTRADICTION	0
Nobody is playing on a trampoline	Some children are jumping on a trampoline	CONTRADICTION	0
A shirtless man is playing football on a field	A man with no shirt is holding a football	NEUTRAL	2
The man is cautiously operating a stenograph	A man is typing on a machine used for stenography	NEUTRAL	2
A man is parking a motorbike	A man is riding a motorbike	NEUTRAL	2
Three friends are making faces for the camera	The friends are making faces for the camera	ENTAILMENT	1
A dog is near a ball colored in red, which is in the air	A dog is near the red ball in the air	ENTAILMENT	1
A black and white dog is playing with a ruined volleyball in a brown field	A black and white dog is playing with a broken volleyball	ENTAILMENT	1
There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION	0
The bearded man is sitting on a train	The man is sitting on the train and resting his hand against his face	NEUTRAL	2
The monkey is being trained in martial arts	A monkey is kicking at the gloved hand of a person	NEUTRAL	2
Two dogs are playing together on the grass	A big dog and a small white dog are walking past each other	NEUTRAL	2
One man is turning on the microwave	A man is pushing the buttons of a microwave	ENTAILMENT	1
The man is skillfully playing the guitar	A man is playing a flute	NEUTRAL	2
The man is slicing bread	The man is putting away the bread	NEUTRAL	2
A few men are playing cricket	Some people are playing cricket	ENTAILMENT	1
One man is eating some food	A man is eating some food	ENTAILMENT	1
There is no woman slicing a clove of garlic	A woman is slicing a clove of garlic	CONTRADICTION	0
The subject is being studied by a man with a camera	A man with a camera is studying the subject	ENTAILMENT	1
A bunny is playing with a stuffed bunny	There is no bunny playing with a stuffed bunny	CONTRADICTION	0
The woman is pouring oil into the pan	The boy is playing a musical instrument	NEUTRAL	2
Two bmx bikers are jumping dirt ramps in front of a body of water	Some bikers are doing acrobatics on a track near water and a skyline	NEUTRAL	2
A white dog is standing on a grassy hillside	A dog is standing on the side of a mountain	NEUTRAL	2
A dog, which is small, is running out of the green grass	A dog is near the red ball in the air	NEUTRAL	2
A man is tearing up the pictures of a lake	The man is setting up the camera and taking sunset pictures at the beach	NEUTRAL	2
A man is on a rock high above some trees and is standing in an uncomfortable position	A man is on a rock high above some trees and is standing in a strange position	ENTAILMENT	1
The woman is penciling on eyeshadow	A woman is putting cosmetics on her eyelid	ENTAILMENT	1
A woman is peeling a potato	A man is slicing a red tomato	NEUTRAL	2
Nobody is in the snow wearing clothes that provide camouflage	Two people are walking two dogs with golden coats in the snow	NEUTRAL	2
A man is in a parking lot and is playing tennis against a large wall	There is no man pointing at a car	NEUTRAL	2
A man in a hat is standing outside of a green jeep	A man is standing on a dirt hill next to a black jeep	NEUTRAL	2
Two dogs are playing on a rocky beach	A black dog is approaching a golden dog on pebbly beach	NEUTRAL	2
A snowboarder is jumping through the air	A person wearing grey pants is airborne on a snowboard	NEUTRAL	2
A boy is spanking a man with a plastic sword	A boy is spanking a woman with a plastic sword	NEUTRAL	2
A blonde boy in green is sitting on a swing	A blonde boy in green is standing on a swing	CONTRADICTION	0
A man in a hat is pacing through a store	A man in a hat is walking through a store	ENTAILMENT	1
A brown dog and a grey dog are fighting in the snow	A brown dog and a gray dog are playing in the snow	NEUTRAL	2
A woman is slicing an onion	The woman is not cutting a carrot	NEUTRAL	2
The patient is being helped by the doctor	The doctors are reviving a man	NEUTRAL	2
A man on a horse is riding on a track and waving	A man on a motorcycle is riding on a track and waving	NEUTRAL	2
The woman is stirring eggs in a bowl	The woman isn't stirring eggs in a bowl	CONTRADICTION	0
A man in a hat is standing outside of a green jeep	A man with no hat is standing outside of a green jeep	CONTRADICTION	0
A lemur is eating quickly	The animal with big eyes is eating	ENTAILMENT	1
A famous singer is dancing on the ceiling	A man is dancing on the ceiling	NEUTRAL	2
Some people are treading through the snow of the beautiful snowy landscape	Four people are standing in thick snow and the sun is rising	NEUTRAL	2
A brown and black dog is running through the leaves	There is no dog in a colored coat running across the yard	NEUTRAL	2
The young girl with a pink shirt is peacefully lying on the grass	The young girl with a pink shirt isn't peacefully lying on the grass	CONTRADICTION	0
A duck with brown feathers and a green head is flapping its wings in the water	A brown duck with a green head is flapping its wings in the water	ENTAILMENT	1
A bride with a white dress is looking down	A bride with a white veil is looking down	NEUTRAL	2
A woman is cracking an egg into a bowl	There is no woman cracking an egg into a bowl	CONTRADICTION	0
A woman is standing near three children	A woman is playing with two young boys at a park	NEUTRAL	2
The man is austerely playing a piano	The man is playing a piano	ENTAILMENT	1
A dog is herding a pack of white sheep on a dusty farm	A sheepdog is dispersing a herd of sheep	NEUTRAL	2
A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background	A topless person with a back pack is in front of a pile of rocks and clouds are in the background	ENTAILMENT	1
Swimmers are racing in a lake	Several jumpers are swimming in the water	NEUTRAL	2
A father is pulling his daughter on a go-kart and another girl is looking away	A father is pushing his daughter on a go-kart and another girl is watching	NEUTRAL	2
A woman is painting a man's face	A man is painting a woman's face	NEUTRAL	2
A little girl in a green coat and a boy holding a red sled are walking in the snow	A child is wearing a coat and is carrying a red sled behind a child in a green and black coat	NEUTRAL	2
A big cat is opening a drawer made of plastic with its paws and is jumping inside	A cat is opening a drawer and climbing inside	ENTAILMENT	1
A girl is cutting butter into two pieces	A magician is cutting a girl into two pieces like butter	NEUTRAL	2
A climber on the wall is attached to the climbing boy with an artificially built rope	A fearful little boy is on a climbing wall	NEUTRAL	2
One man is climbing a cliff with a rope	A person is standing in front of a rock with a rope, which is pink	NEUTRAL	2
A biker is wearing gear which is black	A biker wearing black is breaking the gears	NEUTRAL	2
Two men are fighting in a cow pasture	Two cows are fighting in a pasture by a man	NEUTRAL	2
A man is having fun with water	A man is playing with water	ENTAILMENT	1
A woman is cleaning a shrimp	Someone is cleaning an animal	ENTAILMENT	1
One woman is denying the volleyballs to another woman	A woman is serving volleyballs over a net	NEUTRAL	2
A man is talking on the radio	A man is talking	ENTAILMENT	1
The man is playing a flute	The man is not playing a flute	CONTRADICTION	0
There is no person throwing a cat at the ceiling	A person is throwing a cat at the ceiling	CONTRADICTION	0
A woman is walking in a city street	A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees	NEUTRAL	2
A woman is deep frying food	Food is being deep fried by a woman	ENTAILMENT	1
A lion is slowly walking	A lion is tiring the whole pen by pacing	NEUTRAL	2
A man is standing on a boat in front of the sunset near a flag	A man is on a boat in front of the sunset	ENTAILMENT	1
The man is slicing vegetables	A woman is cutting a potato	NEUTRAL	2
A motorbike rider is running over a man 	The horse is being ridden by a man	NEUTRAL	2
No person is hiking	The person is hiking	CONTRADICTION	0
Someone is writing	Someone is typing on a keyboard	NEUTRAL	2
A woman in jeans is standing near a horse with a saddle	The kitten is eagerly drinking some milk from the bowl	NEUTRAL	2
Two large persons are sitting on a park bench and they have a bottle of soda between them	Two people are sitting comfortably on the bench	NEUTRAL	2
Four young men are standing still and a car is exploding behind them	The boys are not standing in front of the burning car	NEUTRAL	2
A tan dog is running through the brush	A white dog with beige spots is speeding through a field	NEUTRAL	2
A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance	NEUTRAL	2
A kid is playing an instrument	A kid is throwing away an instrument	NEUTRAL	2
A girl in blue is sliding down a green slide	The young girl in blue is enjoying a slide	ENTAILMENT	1
A man is making a call on a cell phone	A man is making a phone call	ENTAILMENT	1
A person is cutting an onion	One person is cutting an onion	ENTAILMENT	1
Three women are dancing	A few women are dancing	ENTAILMENT	1
A man and a woman are eating	A man and a woman are having a conversation	NEUTRAL	2
Two teams are playing soccer	Different football players are teaming on a field	NEUTRAL	2
A dog next to a tree, which is probably a pine, is biting a bucket	There is no dog which is furry and black in a back yard carrying a basket in its mouth.	NEUTRAL	2
A bearded man is standing by a shopping cart and is holding a cardboard sign	A man is seeking a sign and is holding some money	NEUTRAL	2
A man is diving off a rock	A man is diving off a cliff	NEUTRAL	2
A concentrated woman is playing flute	A woman is playing flute	ENTAILMENT	1
A man is packing a violin	A man is playing a violin	NEUTRAL	2
A man in a hat is walking through a store	A man in a hat is walking past a store	NEUTRAL	2
There is no man eating some food	A man is eating some food	CONTRADICTION	0
A little boy is playing a guitar	A young boy is playing a guitar	ENTAILMENT	1
Small children are getting off a statue in a park	Small children are climbing a statue in a park	NEUTRAL	2
A man is sitting in a field	There is no person wearing a hat and sitting on the grass	NEUTRAL	2
The man is cautiously feeding a mouse to the snake	One man is feeding a mouse to the snake	ENTAILMENT	1
A dog is playing with a toy	A dog is biting a doll	NEUTRAL	2
A dog that has a brown and white coat is trotting through shallow water	A brown and white coat is floating across shallow water near a trotting dog	NEUTRAL	2
The woman is wearing glasses and a black headdress	An Egyptian is wearing a woman's headdress	NEUTRAL	2
Two men are holding fishing poles	Two men are holding some water standing near fishing poles	NEUTRAL	2
Soccer players are kicking a soccer ball into the goal	A soccer player is scoring a goal	ENTAILMENT	1
A woman is surfing	A fearful little boy is on a climbing wall	NEUTRAL	2
Butter is being chopped into a container by a man	A woman is cutting shrimps	NEUTRAL	2
A man with no hat is sitting on the ground	A man with a backwards hat is sitting on the ground	NEUTRAL	2
A man is riding a horse	The person is riding the horse	ENTAILMENT	1
Two brown dogs are fighting over a red ball and are playing in the grass	There is no dog playing with a red ball	NEUTRAL	2
A black and brown cat is eyeing a fly	A black and brown dog is eyeing a fly	NEUTRAL	2
A man without a shirt is posing with the arms spread next to a woman	A man without a shirt is posing with the arms spread near a woman	ENTAILMENT	1
A white dog is standing on fallen leaves	One white dog is standing on the leaves on the ground	ENTAILMENT	1
An animal is resting	An animal is running in circles	NEUTRAL	2
A man is slicing an onion	No onion is being cut by a man	CONTRADICTION	0
A tennis player with a green headband is hitting the ball	A tennis player with a green headband is missing the ball	CONTRADICTION	0
The brown horse is near a red barrel at the rodeo	A cowgirl is riding a barrel near a horse in the corner	NEUTRAL	2
The dark skinned male is standing on one hand in front of a yellow building	The dark skinned male is not standing on one hand in front of a yellow building	CONTRADICTION	0
A young girl is dancing	A young girl is standing challengingly on one leg	NEUTRAL	2
There is no man standing beside a large and colorful birdcage	A man is standing beside a large and colorful birdcage	CONTRADICTION	0
The person is painting	The person is drawing	NEUTRAL	2
Someone is holding a hedgehog	Someone is holding a small animal	ENTAILMENT	1
A man is dancing	A man is singing	NEUTRAL	2
The doctor is helping the patient	The patient is helping the doctor	NEUTRAL	2
A rhino is grazing in a field	The rhino is not grazing on the grass	NEUTRAL	2
Two children are playing soccer in the park	Children are playing outside with a soccer ball on the green grass	NEUTRAL	2
A man dressed in black is wearing inline skates and performing acrobatics on a rail	A man dressed in black is wearing inline skates and performing a trick on a rail	ENTAILMENT	1
A boy is standing in the water	The kid is swimming through the blue ocean	NEUTRAL	2
A guitar is being played by a man	A girl is playing a guitar	NEUTRAL	2
A person is riding a bike	A bike rider in a black and red uniform is standing on a dirt bike	NEUTRAL	2
Five children are standing in front of a hut made of wood	Five kids are standing close together and one kid has a gun	NEUTRAL	2
A boy is happily playing the piano	A piano is being played by a person	ENTAILMENT	1
A woman is putting on a cloak, which is very large, and concealing an extravagant dress	A black, red, white and pink dress is being worn by a woman	NEUTRAL	2
Two women with dogs are walking on a forest path	Two dogs and two people are sitting in the woods	NEUTRAL	2
A little boy is sticking his tongue out for the camera and another boy is looking on	Two young boys are looking up at the camera and one is sticking out his tongue	ENTAILMENT	1
The small child is wading through the water and is being guided by another person	A young child is splashing in the water	NEUTRAL	2
A boy is running through the sea at the beach	A boy is running through the water at the beach	ENTAILMENT	1
A dog is running across a rocky landscape	A black dog is walking along rocky terrain	NEUTRAL	2
A man is walking slowly across a bridge made of rope	A boy is walking across a bridge	NEUTRAL	2
A dog, which is black, and a white one are staring at each other in the street	Two dogs of different breeds are looking at each other across a street	NEUTRAL	2
The woman is chopping garlic	The woman is slicing garlic	ENTAILMENT	1
A man is putting down an electronic device	A man is holding up an electronic device	CONTRADICTION	0
A few men in a competition are running outside	The man is racing for the lead 	NEUTRAL	2
A bee is taking off from a yellow flower	A small bee is landing on a bunch of yellow flowers	NEUTRAL	2
A young lady in a bikini is lying on the beach	A girl in a black hat is wearing a bikini at the beach	NEUTRAL	2
A man in a purple hat is climbing a rocky wall with bare hands	The young man is not rock climbing	NEUTRAL	2
A man is standing at the wheel of a classic American car that has its door and trunk open	The woman in blue is posing for a picture next to a car	NEUTRAL	2
The person is flying through the air on a bicycle	There is no person on a bike jumping through the air with the sun flaring through the bike frame	NEUTRAL	2
Different teams are playing football on a field	Two teams are playing soccer	NEUTRAL	2
A woman is cutting broccoli	There is no man cutting tomatoes	NEUTRAL	2
A woman is showing a puppy to an infant	A woman is showing a small dog to an infant	ENTAILMENT	1
A young girl is playing on the edge of a fountain and an older woman is watching her	A young girl is playing on the edge of a fountain and an older woman is not watching her	CONTRADICTION	0
A woman is slicing a pepper which is big	A woman is slicing a big pepper	ENTAILMENT	1
Someone is drawing a person	The person is drawing	ENTAILMENT	1
